Dataset, Balancing, Feature Selection, Training Release, Classifier, Training% of total, Positive% in training, Positive% in testing, TP, FP, TN, FN, Precision, Recall, AUC, kappa
BOOKKEEPER, UnderSampling, BestFirst, 2, IBk, 45.42372881355932, 58.95522388059702, 60.66252587991718, 178.0, 37.0, 256.0, 12.0, 0.827906976744186, 0.9368421052631579, 0.9012753727321717, 0.7922398279418865
BOOKKEEPER, OverSampling, BestFirst, 2, NaiveBayes, 45.42372881355932, 58.95522388059702, 60.66252587991718, 148.0, 72.0, 221.0, 42.0, 0.6727272727272727, 0.7789473684210526, 0.8502514819471888, 0.5188149960674648
BOOKKEEPER, OverSampling, BestFirst, 2, RandomForest, 45.42372881355932, 58.95522388059702, 60.66252587991718, 158.0, 4.0, 289.0, 32.0, 0.9753086419753086, 0.8315789473684211, 0.9656098437219328, 0.8396769196724938
BOOKKEEPER, OverSampling, BestFirst, 2, IBk, 45.42372881355932, 58.95522388059702, 60.66252587991718, 172.0, 40.0, 253.0, 18.0, 0.8113207547169812, 0.9052631578947369, 0.8784084785342196, 0.7534109113955249
BOOKKEEPER, SMOTE, BestFirst, 2, NaiveBayes, 45.42372881355932, 58.95522388059702, 60.66252587991718, 150.0, 75.0, 218.0, 40.0, 0.6666666666666666, 0.7894736842105263, 0.8589814981138854, 0.5167688894688763
BOOKKEEPER, SMOTE, BestFirst, 2, RandomForest, 45.42372881355932, 58.95522388059702, 60.66252587991718, 184.0, 38.0, 255.0, 6.0, 0.8288288288288288, 0.968421052631579, 0.9681156816957068, 0.8146132105097874
BOOKKEEPER, SMOTE, BestFirst, 2, IBk, 45.42372881355932, 58.95522388059702, 60.66252587991718, 179.0, 30.0, 263.0, 11.0, 0.8564593301435407, 0.9421052631578948, 0.9209358721034668, 0.8252116119579512
BOOKKEEPER, UnderSampling, BestFirst, 3, NaiveBayes, 56.58567774936062, 59.887005649717516, 56.553755522827686, 159.0, 23.0, 361.0, 136.0, 0.8736263736263736, 0.5389830508474577, 0.8468970692090395, 0.5013417827928482
BOOKKEEPER, UnderSampling, BestFirst, 3, RandomForest, 56.58567774936062, 59.887005649717516, 56.553755522827686, 190.0, 0.0, 384.0, 105.0, 1.0, 0.6440677966101694, 0.9289106638418079, 0.6717768109937159
BOOKKEEPER, UnderSampling, BestFirst, 3, IBk, 56.58567774936062, 59.887005649717516, 56.553755522827686, 235.0, 22.0, 362.0, 60.0, 0.914396887159533, 0.7966101694915254, 0.8579669844632768, 0.7505220048571095
BOOKKEEPER, OverSampling, BestFirst, 3, NaiveBayes, 56.58567774936062, 59.887005649717516, 56.553755522827686, 162.0, 27.0, 357.0, 133.0, 0.8571428571428571, 0.5491525423728814, 0.8551024011299435, 0.4996453672061382
BOOKKEEPER, OverSampling, BestFirst, 3, RandomForest, 56.58567774936062, 59.887005649717516, 56.553755522827686, 186.0, 0.0, 384.0, 109.0, 1.0, 0.6305084745762712, 0.9169977048022598, 0.6587137264305378
BOOKKEEPER, OverSampling, BestFirst, 3, IBk, 56.58567774936062, 59.887005649717516, 56.553755522827686, 237.0, 35.0, 349.0, 58.0, 0.8713235294117647, 0.8033898305084746, 0.8589115466101694, 0.718737890456232
BOOKKEEPER, SMOTE, BestFirst, 3, NaiveBayes, 56.58567774936062, 59.887005649717516, 56.553755522827686, 169.0, 18.0, 366.0, 126.0, 0.9037433155080213, 0.5728813559322034, 0.8752957274011299, 0.5493113557165772
