Version, File, size, LOC_touched, LOC_added, MAX_LOC_Added, AVG_LOC_Added
1, hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestReadAheadCacheWhiteBox.java, 268, 286, 277, 139, 9
1, hedwig-client/src/main/java/org/apache/hedwig/client/netty/ConnectCallback.java, 123, 129, 126, 42, 2
1, hedwig-server/src/main/java/org/apache/hedwig/server/persistence/LocalDBPersistenceManager.java, 427, 451, 439, 146, 2
1, hedwig-client/src/main/cpp/inc/hedwig/client.h, 86, 86, 86, 29, 80
1, hedwig-client/src/main/cpp/test/subscribetest.cpp, 199, 303, 251, 126, 52
1, hedwig-client/src/test/java/org/apache/hedwig/util/TestPathUtils.java, 54, 54, 54, 54, 54
1, hedwig-server/src/test/java/org/apache/hedwig/server/netty/WriteRecordingChannel.java, 170, 170, 170, 170, 170
1, conf/log4j.properties, 72, 82, 77, 26, 2
1, hedwig-client/src/main/cpp/log4cpp.conf, 49, 49, 49, 49, 49
1, hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ConsumeHandler.java, 64, 66, 65, 33, 1
1, hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStartDeliveryHandler.java, 130, 152, 141, 47, 3
1, hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/TrueFilter.java, 32, 32, 32, 32, 32
1, hedwig-client/src/main/cpp/inc/hedwig/subscribe.h, 52, 52, 52, 52, 52
1, hedwig-server/src/test/java/org/apache/hedwig/server/topics/StubTopicManager.java, 64, 68, 66, 33, 2
1, bookkeeper/src/test/java/org/apache/bookkeeper/test/LoopbackClient.java, 0, 234, 117, 59, 117
1, bookkeeper/src/main/java/org/apache/bookkeeper/client/BookKeeper.java, 0, 820, 410, 205, 410
1, hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyUnsubscribeHandler.java, 74, 74, 74, 74, 74
1, conf/hw_client_sample.conf, 0, 14, 7, 4, 7
1, bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java, 137, 347, 242, 61, 2
1, hedwig-client/src/main/cpp/aminclude.am, 186, 186, 186, 186, 186
1, bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieJournalRollingTest.java, 219, 275, 247, 82, 222
